StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
00:05:34.304,00:05:34.304,29,,-0.04887405;-0.2036733,0.6816889,29,
00:05:34.304,00:05:34.304,29,,-0.04920257;-0.2037575,0.6810922,29,
00:05:34.374,00:05:34.374,29,,-0.04555283;-0.1979088,0.6780196,29,
00:05:34.374,00:05:34.374,29,,-0.05031953;-0.205287,0.6799839,29,
00:05:34.386,00:05:34.386,29,,-0.04630803;-0.1990719,0.6784912,29,
00:05:34.386,00:05:34.386,29,,-0.04810156;-0.1994005,0.6770146,29,
00:05:34.430,00:05:34.430,29,,-0.05291527;-0.2068031,0.6792211,29,
00:05:34.430,00:05:34.430,29,,-0.05122178;-0.2039127,0.6790111,29,
00:05:34.473,00:05:34.473,29,,-0.05083057;-0.2012062,0.6767091,29,
00:05:34.473,00:05:34.473,29,,-0.05079802;-0.2014446,0.6775472,29,
00:05:34.514,00:05:34.514,29,,-0.05254059;-0.201106,0.6764777,29,
00:05:34.514,00:05:34.514,29,,-0.05752435;-0.2080924,0.6787075,29,
00:05:34.557,00:05:34.557,29,,-0.0570058;-0.2055541,0.6784934,29,
00:05:34.557,00:05:34.557,29,,-0.05806021;-0.2052634,0.6786234,29,
00:05:34.603,00:05:34.603,29,,-0.0559869;-0.2013772,0.6771893,29,
00:05:34.603,00:05:34.603,29,,-0.05998546;-0.206392,0.6788005,29,
00:05:34.643,00:05:34.643,29,,-0.05730192;-0.2007291,0.6770119,29,
00:05:34.643,00:05:34.643,29,,-0.06150622;-0.2062923,0.6795313,29,
00:05:34.693,00:05:34.693,29,,-0.06215083;-0.2056484,0.6799336,29,
00:05:34.694,00:05:34.694,29,,-0.05917954;-0.2000097,0.6782022,29,
00:05:34.730,00:05:34.730,29,,-0.0637355;-0.205944,0.6805177,29,
00:05:34.731,00:05:34.731,29,,-0.06432675;-0.2055838,0.6810881,29,
00:05:34.776,00:05:34.776,29,,-0.06521808;-0.204982,0.6816854,29,
00:05:34.776,00:05:34.776,29,,-0.06633425;-0.2043932,0.6822304,29,
00:05:34.818,00:05:34.818,29,,-0.06748591;-0.2039307,0.6828569,29,
00:05:34.861,00:05:34.861,29,,-0.06807178;-0.2037369,0.6832348,29,
00:05:34.861,00:05:34.861,29,,-0.06913256;-0.2031565,0.6836534,29,
00:05:34.907,00:05:34.907,29,,-0.06967835;-0.2023045,0.6839031,29,
00:05:34.907,00:05:34.907,29,,-0.07011823;-0.2023601,0.6838375,29,
00:05:34.950,00:05:34.950,29,,-0.07044906;-0.2015949,0.6842015,29,
00:05:34.950,00:05:34.950,29,,-0.06756955;-0.1941429,0.6820571,29,
00:05:35.002,00:05:35.002,29,,-0.07173748;-0.2003841,0.6842448,29,
00:05:35.002,00:05:35.002,29,,-0.0718772;-0.1998253,0.684289,29,
