Timestamp;Annotation ID;Width;Color (r,g,b);Point Index;Position (x,y,z);Position` (x,y,z)
637326632242633627;37;0.001999997;0,187,255;50;-0.005302381,0.0223127,0.5912589;-0.005302381,0.0223127,0.5912589
637326632242633627;37;0.001999997;0,187,255;51;-0.007940445,0.02269554,0.5911436;-0.007940445,0.02269554,0.5911436
637326632243104849;37;0.001999997;0,187,255;52;-0.011511,0.02324241,0.5908673;-0.011511,0.02324241,0.5908673
637326632243104849;37;0.001999997;0,187,255;53;-0.01560763,0.02417362,0.5905102;-0.01560763,0.02417362,0.5905102
637326632243104849;37;0.001999997;0,187,255;54;-0.01843771,0.02494782,0.5906873;-0.01843771,0.02494782,0.5906873
637326632243412348;37;0.001999997;0,187,255;55;-0.02196539,0.02587706,0.5902845;-0.02196539,0.02587706,0.5902845
637326632243819073;37;0.001999997;0,187,255;56;-0.02612873,0.02710795,0.5898098;-0.02612873,0.02710795,0.5898098
637326632243819073;37;0.001999997;0,187,255;57;-0.03001632,0.02836752,0.5895554;-0.03001632,0.02836752,0.5895554
637326632244230755;37;0.001999997;0,187,255;58;-0.03257838,0.02971262,0.5896305;-0.03257838,0.02971262,0.5896305
637326632244230755;37;0.001999997;0,187,255;59;-0.03609603,0.03113639,0.5888902;-0.03609603,0.03113639,0.5888902
637326632244637473;37;0.001999997;0,187,255;60;-0.0386117,0.03234488,0.5888752;-0.0386117,0.03234488,0.5888752
637326632244637473;37;0.001999997;0,187,255;61;-0.04186265,0.03425306,0.5887345;-0.04186265,0.03425306,0.5887345
637326632245083895;37;0.001999997;0,187,255;62;-0.04496595,0.03646755,0.5886801;-0.04496595,0.03646755,0.5886801
637326632245088831;37;0.001999997;0,187,255;63;-0.04728523,0.03776896,0.5886151;-0.04728523,0.03776896,0.5886151
637326632245609634;37;0.001999997;0,187,255;64;-0.05080747,0.04013336,0.5882943;-0.05080747,0.04013336,0.5882943
637326632245609634;37;0.001999997;0,187,255;65;-0.05389218,0.0426321,0.5880251;-0.05389218,0.0426321,0.5880251
637326632246070917;37;0.001999997;0,187,255;66;-0.05596076,0.04424274,0.5878006;-0.05596076,0.04424274,0.5878006
637326632246070917;37;0.001999997;0,187,255;67;-0.05880193,0.04703009,0.5868838;-0.05880193,0.04703009,0.5868838
637326632246532200;37;0.001999997;0,187,255;68;-0.06163942,0.0496453,0.5857062;-0.06163942,0.0496453,0.5857062
637326632246532200;37;0.001999997;0,187,255;69;-0.06332784,0.0517593,0.5851427;-0.06332784,0.0517593,0.5851427
637326632246844679;37;0.001999997;0,187,255;70;-0.06577793,0.05478966,0.583645;-0.06577793,0.05478966,0.583645
637326632246844679;37;0.001999997;0,187,255;71;-0.06778856,0.05805123,0.5819374;-0.06778856,0.05805123,0.5819374
637326632247291089;37;0.001999997;0,187,255;72;-0.06888569,0.06009948,0.58064;-0.06888569,0.06009948,0.58064
